GEOID,n_seg,pop,pct_black,pct_vacant,medinck,streetlights,facade,pavement,continuity,no_hazard,crossing,curb_ramp,canopy
29510112400,52,4109,5.48,10.12,73.82,69.23,88.46,94.23,76.92,21.15,9.62,13.46,47.92
29510115300,85,4987,27.73,12.68,49.53,87.06,84.71,97.65,70.59,27.06,3.53,10.59,45.0
29510117200,72,4886,18.89,9.74,96.03,86.11,80.56,95.83,87.5,45.83,6.94,4.17,73.91
29510109700,145,1738,93.1,43.94,41.77,70.34,48.97,82.76,57.93,31.03,8.28,4.14,57.85
29510106200,47,1658,97.17,36.19,24.22,85.11,48.94,95.74,74.47,17.02,8.51,6.38,84.09
29510109600,125,3185,94.44,26.99,32.1,81.6,59.2,73.6,72.0,33.6,3.2,4.8,57.14
29510118100,68,1190,30.92,18.46,66.09,76.47,75.0,86.76,67.65,17.65,8.82,5.88,52.54
29510117400,69,4004,20.03,10.57,86.47,82.61,97.1,95.65,81.16,28.99,4.35,7.25,39.71
29510126700,108,804,73.63,57.99,44.17,75.0,50.0,71.3,61.11,36.11,5.56,6.48,42.11
29510127700,100,2166,95.11,36.66,25.82,83.0,46.0,96.0,59.0,27.0,6.0,4.0,45.16
29510127800,117,3543,53.49,12.73,21.68,94.02,81.2,83.76,85.47,17.95,9.4,11.11,41.77
29510103100,67,3072,14.45,5.31,57.68,86.57,91.04,91.04,88.06,40.3,2.99,8.96,54.1
29510103400,53,1856,3.99,6.11,65.62,84.91,92.45,86.79,81.13,37.74,3.77,1.89,58.49
29510102500,44,1924,4.05,6.87,62.42,95.45,90.91,100.0,93.18,29.55,9.09,6.82,58.14
29510108100,86,3341,95.42,25.94,42.44,91.86,80.23,89.53,84.88,30.23,4.65,9.3,71.08
29510102300,54,2568,29.13,2.78,58.75,88.89,74.07,100.0,81.48,27.78,5.56,3.7,62.0
29510102400,33,2636,20.86,10.18,53.88,87.88,100.0,96.97,84.85,30.3,15.15,9.09,40.62
29510101800,82,3146,35.16,22.03,38.75,92.68,82.93,92.68,59.76,20.73,12.2,8.54,58.21
29510102100,70,2410,5.44,11.04,58.65,94.29,80.0,95.71,94.29,40.0,7.14,11.43,47.14
29510102200,137,5292,4.35,6.96,86.9,91.24,94.16,97.08,91.24,39.42,8.76,8.76,49.22
29510101100,68,2254,10.6,3.47,56.14,92.65,80.88,89.71,94.12,33.82,5.88,10.29,63.08
29510101200,64,3563,19.96,9.15,86.9,93.75,93.75,100.0,98.44,39.06,4.69,1.56,55.93
29510101300,106,3542,17.42,4.07,64.69,89.62,86.79,99.06,87.74,49.06,14.15,10.38,45.54
29510101400,47,2803,26.44,18.5,64.87,89.36,89.36,95.74,72.34,31.91,8.51,17.02,43.18
29510101500,93,2682,31.32,24.01,37.5,93.55,68.82,86.02,78.49,34.41,5.38,10.75,63.41
29510112100,307,4411,19.7,9.42,64.65,86.97,49.51,88.6,78.18,50.81,11.07,23.13,63.33
29510116500,49,3724,26.96,10.77,78.11,85.71,100.0,97.96,79.59,42.86,4.08,6.12,23.4
29510110300,51,1667,99.82,42.59,29.17,60.78,62.75,98.04,37.25,37.25,1.96,7.84,73.91
29510103700,53,2544,11.48,9.53,74.32,71.7,100.0,96.23,77.36,39.62,7.55,9.43,74.51
29510103800,91,3769,3.53,0.52,71.56,85.71,93.41,96.7,91.21,36.26,7.69,10.99,48.86
29510119102,30,3486,21.4,6.11,55.92,80.0,96.67,86.67,86.67,26.67,16.67,20.0,60.71
29510126800,130,3209,12.46,8.48,71.65,94.62,76.92,86.92,91.54,21.54,3.08,11.54,53.91
29510126900,164,3899,91.25,26.3,46.2,90.24,70.73,93.29,76.83,25.0,3.05,6.71,58.7
29510127000,245,1599,82.36,18.86,23.99,86.53,26.53,66.53,80.41,51.84,3.67,9.39,70.27
29510127400,171,4171,62.79,10.33,53.58,90.64,72.51,84.8,83.63,15.2,8.77,11.7,47.26
29510123100,60,3540,43.87,11.13,63.48,75.0,83.33,83.33,81.67,23.33,3.33,0.0,39.62
29510126600,166,2587,83.03,23.96,15.1,86.75,51.81,83.13,68.07,26.51,4.82,5.42,46.72
29510114102,86,4278,2.03,5.55,75.67,86.05,97.67,96.51,97.67,46.51,8.14,10.47,48.19
29510116302,35,2392,31.06,24.69,38.1,71.43,97.14,91.43,74.29,34.29,8.57,5.71,68.75
29510116301,38,3198,9.44,19.4,92.54,86.84,94.74,100.0,94.74,47.37,13.16,10.53,42.86
29510119101,29,2381,33.52,16.45,51.98,75.86,100.0,86.21,89.66,31.03,10.34,6.9,60.0
29510114101,55,3757,10.94,8.95,50.33,78.18,98.18,100.0,89.09,43.64,7.27,9.09,67.31
29510127100,81,1455,84.19,29.42,16.53,88.89,51.85,91.36,59.26,18.52,6.17,3.7,64.38
29510127200,102,4466,41.09,10.81,69.45,84.31,87.25,94.12,90.2,29.41,2.94,11.76,63.83
29510127300,113,4626,55.62,10.61,63.53,86.73,82.3,94.69,85.84,22.12,9.73,9.73,60.38
29510127500,100,2024,64.38,13.49,27.04,93.0,76.0,93.0,84.0,13.0,8.0,17.0,42.86
29510127600,144,2545,7.66,17.96,82.43,88.89,66.67,79.17,63.89,25.69,4.86,8.33,60.34
29510106400,59,2127,96.61,36.41,36.0,81.36,72.88,91.53,69.49,30.51,5.08,6.78,60.38
29510125600,118,4822,36.81,15.67,75.52,95.76,86.44,84.75,88.14,16.1,16.1,22.88,44.66
29510125700,70,1770,93.9,25.69,23.88,92.86,62.86,87.14,84.29,12.86,7.14,22.86,42.11
29510123300,51,3089,29.43,11.05,59.03,90.2,92.16,94.12,76.47,15.69,0.0,5.88,40.91
29510124100,61,4270,48.81,34.49,40.42,93.44,93.44,96.72,95.08,34.43,4.92,16.39,33.33
29510124200,43,3881,52.67,15.94,44.07,81.4,93.02,93.02,76.74,13.95,6.98,13.95,38.46
29510124300,64,2939,16.67,19.02,93.27,79.69,90.62,89.06,78.12,25.0,9.38,9.38,48.21
